,,,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Performance,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,,-additional
408,Henry Mosquera,0.2,0.07,0.29,25.0,0.6,2.4,0.2,0.0,0.0,20.6,2023,21,co COL,Red Bull Bragantino,br Série A,21,1061,11.8,10,11,1,FWMF,be206004
409,Rafael Sóbis,0.2,0.02,0.06,34.8,1.4,3.9,0.1,0.1,0.1,25.7,2019,33,br BRA,Internacional,br Série A,20,1062,11.8,12,8,8,FWMF,aed1e36b
410,Victor Sá,0.2,0.09,0.20,42.6,0.8,2.0,0.2,0.0,0.0,18.5,2023,28,br BRA,Botafogo (RJ),br Série A,33,2127,23.6,27,6,0,FW,1a1033a1
411,Talles Magno,0.2,0.07,0.25,27.6,0.7,2.5,0.2,0.0,0.0,17.5,2019,16,br BRA,Vasco da Gama,br Série A,15,1065,11.8,12,3,1,FWMF,64c98878
412,Matheus Martins,0.2,0.06,0.25,25.0,0.7,2.7,0.2,0.0,0.0,17.9,2022,18,br BRA,Fluminense,br Série A,30,1604,17.8,17,13,1,FWMF,73fd2787
413,Bruno Tabata,0.2,0.08,0.18,45.8,0.9,2.0,0.2,0.0,0.1,23.8,2024,26,br BRA,Internacional,br Série A,17,1071,11.9,14,3,0,FWMF,33fdf90d
414,Isaque,0.2,0.06,0.20,29.4,0.8,2.9,0.2,0.0,0.0,14.9,2020,22,br BRA,Grêmio,br Série A,24,1072,11.9,11,13,9,MFFW,c3d8820e
415,Osvaldo,0.2,0.05,0.10,52.6,0.8,1.6,0.1,0.1,0.1,22.9,2024,36,br BRA,Vitória,br Série A,19,1072,11.9,17,2,3,MFFW,deb6b945
416,Nenê,0.2,0.05,0.25,20.5,0.4,2.2,0.1,0.1,0.1,22.2,2019,37,br BRA,Fluminense,br Série A,25,1615,17.9,19,6,1,MFFW,265ebd37
417,Marcos Guilherme,0.2,0.15,0.33,44.1,0.5,1.1,0.2,0.0,0.0,16.4,2021,25,br BRA,Santos,br Série A,35,2694,29.9,32,3,1,FWMF,d5ff6084
418,Luan Vieira,0.2,0.08,0.22,36.0,0.7,2.0,0.2,0.0,0.0,20.7,2020,26,br BRA,Corinthians,br Série A,22,1103,12.3,11,11,10,MFFW,c4f6bf06
419,Luiz Fernando,0.2,0.09,0.22,39.1,0.7,1.9,0.2,0.0,0.0,16.7,2020,23,br BRA,2 Teams,br Série A,25,1106,12.3,11,14,3,FWMF,824ed016
420,Leandro Barcia,0.2,0.12,0.28,41.9,0.6,1.4,0.2,0.0,0.0,13.5,2019,26,uy URU,Goiás,br Série A,35,2783,30.9,32,3,1,FWMF,11d91ea7
421,Gustavo Ferrareis,0.2,0.09,0.30,29.4,0.5,1.8,0.2,0.0,0.0,19.6,2020,24,br BRA,Atl Goianiense,br Série A,26,1689,18.8,24,2,0,FW,5188561c
422,Pablo,0.2,0.07,0.23,30.2,0.7,2.3,0.2,0.0,0.0,18.5,2024,31,br BRA,Ath Paranaense,br Série A,29,1703,18.9,20,9,1,FWMF,1ad394c5
423,Felipe Azevedo,0.2,0.06,0.20,30.8,0.8,2.6,0.2,0.0,0.0,19.0,2022,35,br BRA,América (MG),br Série A,36,2274,25.3,30,6,1,MFFW,4a22b15a
424,Bruno Zapelli,0.2,0.06,0.40,15.6,0.4,2.5,0.2,0.0,0.0,21.6,2023,20,ar ARG,Ath Paranaense,br Série A,21,1143,12.7,13,8,1,MFFW,a70af595
425,Lelê,0.2,0.05,0.13,37.2,1.3,3.4,0.2,0.0,0.0,12.9,2023,25,br BRA,Fluminense,br Série A,29,1144,12.7,8,21,7,FWMF,467aed9b
426,Ricardo Oliveira,0.2,0.06,0.18,32.4,0.9,2.6,0.2,0.0,0.1,14.8,2019,38,br BRA,Atlético Mineiro,br Série A,21,1157,12.9,15,6,12,FW,420c1246
427,Silvio Romero,0.2,0.06,0.18,34.4,0.9,2.5,0.2,0.0,0.1,15.0,2022,33,ar ARG,Fortaleza,br Série A,30,1158,12.9,13,17,7,FW,6a00c4b0
428,Zé Roberto,0.2,0.08,0.23,35.1,0.7,1.9,0.2,0.0,0.0,14.4,2020,26,br BRA,Atl Goianiense,br Série A,25,1739,19.3,22,3,0,FW,810033a1
429,Paulinho Moccelin,0.2,0.13,0.43,29.2,0.4,1.2,0.2,0.0,0.0,21.4,2021,26,br BRA,Sport Recife,br Série A,34,1741,19.3,17,17,0,FWMF,d63fb6a8
430,Kaio Jorge,0.2,0.05,0.13,39.5,1.2,2.9,0.2,0.0,0.1,14.6,2024,22,br BRA,Cruzeiro,br Série A,16,1163,12.9,13,3,1,FW,0cf465f2
431,Edinho,0.2,0.09,0.23,38.2,0.7,1.8,0.2,0.0,0.0,25.7,2019,24,br BRA,Fortaleza,br Série A,29,1748,19.4,20,9,3,FWMF,a8cedcd9
432,Alecsandro,0.2,0.09,0.25,34.8,0.6,1.8,0.2,0.0,0.1,11.6,2019,37,br BRA,CSA,br Série A,20,1167,13.0,15,5,4,FW,266bd6fb
433,Rafael Galhardo,0.2,0.08,0.33,25.0,0.2,0.9,0.1,0.1,0.1,29.3,2019,27,br BRA,Grêmio,br Série A,16,1173,13.0,15,1,14,DFFW,0855274e
434,Gabriel Pirani,0.2,0.07,0.21,33.3,0.7,2.1,0.2,0.0,0.0,22.1,2021,18,br BRA,Santos,br Série A,32,1783,19.8,21,11,2,MFFW,17205abf
435,Antony,0.2,0.06,0.15,40.0,1.0,2.5,0.2,0.0,0.0,21.6,2019,18,br BRA,São Paulo,br Série A,29,2379,26.4,27,2,0,MFFW,99127249
436,Gustavo Mosquito,0.1,0.06,0.50,11.8,0.1,1.3,0.1,0.1,0.1,17.0,2024,26,br BRA,2 Teams,br Série A,23,1200,13.3,14,9,3,FWMF,c9ed46c4
437,Douglas Costa,0.1,0.07,0.20,34.9,0.7,2.1,0.1,0.0,0.0,23.4,2021,30,br BRA,Grêmio,br Série A,26,1805,20.1,20,6,0,FWMF,4fa7cb9b
438,Wellington Rato,0.1,0.06,0.15,36.1,1.0,2.7,0.1,0.0,0.0,22.5,2020,27,br BRA,Atl Goianiense,br Série A,19,1205,13.4,13,6,5,FWMF,598917cf
439,Matheus Henrique,0.1,0.10,0.33,30.0,0.4,1.5,0.1,0.0,0.0,22.1,2024,26,br BRA,Cruzeiro,br Série A,17,1219,13.5,13,4,0,MFFW,a2d9f138
440,Luiz Henrique,0.1,0.09,0.40,22.7,0.4,1.6,0.1,0.0,0.0,19.8,2020,19,br BRA,Fluminense,br Série A,26,1221,13.6,13,13,3,FW,8059806f
441,Arthur,0.1,0.05,0.08,68.4,1.0,1.4,0.1,0.1,0.1,19.2,2020,21,br BRA,Santos,br Série A,22,1222,13.6,16,6,13,MFFW,184ad240
442,Adson,0.1,0.08,0.20,40.0,0.7,1.8,0.1,0.0,0.0,20.0,2024,23,br BRA,Vasco da Gama,br Série A,20,1224,13.6,14,6,1,FW,eda38706
443,André Luis,0.1,0.09,0.33,28.1,0.4,1.6,0.1,0.0,0.0,19.5,2022,24,br BRA,Cuiabá,br Série A,33,1838,20.4,22,11,1,FWMF,821097f7
444,Alan Patrick,0.1,0.06,0.25,25.5,0.4,1.7,0.1,0.0,0.0,23.3,2023,31,br BRA,Internacional,br Série A,34,2452,27.2,28,6,1,MFFW,00672021
445,Marinho,0.1,0.05,0.15,31.7,1.0,3.0,0.1,0.0,0.1,23.3,2023,32,br BRA,2 Teams,br Série A,25,1227,13.6,15,10,3,FWDF,c077c735
446,Vinícius,0.1,0.06,0.13,41.7,1.1,2.6,0.1,0.0,0.0,23.6,2019,27,br BRA,Atlético Mineiro,br Série A,24,1236,13.7,13,11,11,MFFW,ee01c84d
447,Élber,0.1,0.11,0.20,55.6,0.7,1.3,0.1,0.0,0.0,19.2,2019,26,br BRA,Bahia,br Série A,31,1855,20.6,24,7,0,FWMF,0df8c3bc
448,Alisson,0.1,0.05,0.16,33.9,0.9,2.7,0.1,0.0,0.0,20.5,2021,27,br BRA,Grêmio,br Série A,29,1875,20.8,22,7,3,FWMF,99139fa4
449,Fellipe Mateus,0.1,0.09,0.18,48.6,0.8,1.7,0.1,0.0,0.0,20.0,2024,32,br BRA,Criciúma,br Série A,31,1887,21.0,20,11,0,MFFW,0750fb06
450,Felipe Marques,0.1,0.10,0.22,42.9,0.6,1.5,0.1,0.0,0.0,17.7,2021,31,br BRA,Cuiabá,br Série A,30,1270,14.1,11,19,2,MFFW,30139a1c
451,Cauly Oliveira Souza,0.1,0.06,0.22,27.7,0.6,2.3,0.1,0.0,0.0,19.9,2023,27,br BRA,Bahia,br Série A,32,2543,28.3,30,2,0,MFFW,2b53f7a5
452,Bruno Henrique,0.1,0.08,0.23,34.2,0.6,1.8,0.1,0.0,0.0,19.5,2024,34,br BRA,Internacional,br Série A,37,1908,21.2,21,16,0,MFFW,5a43b021
453,Arthur,0.1,0.07,0.15,43.3,0.9,2.1,0.1,0.0,0.0,19.3,2024,25,br BRA,Cruzeiro,br Série A,21,1273,14.1,14,7,0,FW,184ad240
454,Yago Pikachu,0.1,0.00,0.00,19.0,0.2,1.2,0.0,0.1,0.2,22.8,2019,26,br BRA,Vasco da Gama,br Série A,36,3186,35.4,36,0,0,DFFW,462f1e13
455,Vitinho,0.1,0.06,0.20,30.6,0.7,2.3,0.1,0.0,0.0,19.2,2024,24,br BRA,Red Bull Bragantino,br Série A,33,1915,21.3,21,12,3,FWMF,06d4b2e4
456,Felippe Cardoso,0.1,0.06,0.20,32.3,0.7,2.2,0.1,0.0,0.0,18.3,2019,20,br BRA,Ceará,br Série A,18,1285,14.3,14,4,10,FW,7a2bbdf3
457,Lima,0.1,0.03,0.11,23.7,0.4,1.8,0.0,0.1,0.1,20.7,2022,25,br BRA,Ceará,br Série A,31,1933,21.5,23,8,1,FWMF,d215c7de
458,Cristian Pavón,0.1,0.04,0.12,32.1,0.8,2.5,0.1,0.0,0.0,20.5,2023,27,ar ARG,Atlético Mineiro,br Série A,33,1934,21.5,21,12,2,FWMF,a664b026
459,Romarinho,0.1,0.08,0.27,30.6,0.5,1.7,0.1,0.0,0.0,20.4,2020,25,br BRA,Fortaleza,br Série A,34,2579,28.7,31,3,0,FWMF,1e7d2cc0
460,Apodi,0.1,0.10,0.25,40.0,0.6,1.4,0.1,0.0,0.0,23.3,2019,32,br BRA,CSA,br Série A,32,2606,29.0,31,1,1,DFFW,affbe6bc
461,Felipe Anderson,0.1,0.08,0.29,29.2,0.5,1.6,0.1,0.0,0.0,17.3,2024,30,br BRA,Palmeiras,br Série A,20,1310,14.6,16,4,1,FW,9f1893b9
462,William Pottker,0.1,0.05,0.14,35.0,0.6,1.8,0.1,0.0,0.1,20.3,2022,28,br BRA,Avaí,br Série A,27,1967,21.9,23,4,0,FWMF,214a16c5
463,Marrony,0.1,0.06,0.17,32.4,0.8,2.4,0.1,0.0,0.0,14.1,2019,19,br BRA,Vasco da Gama,br Série A,34,2632,29.2,30,4,0,FWMF,1dff86ec
464,Tomás Cuello,0.1,0.06,0.17,34.0,0.8,2.4,0.1,0.0,0.0,24.8,2021,20,ar ARG,Red Bull Bragantino,br Série A,30,1982,22.0,23,7,4,FWMF,5c8615dd
465,Thaciano,0.1,0.09,0.20,45.5,0.7,1.5,0.1,0.0,0.0,18.3,2019,23,br BRA,Grêmio,br Série A,22,1323,14.7,13,9,6,MFFW,139113e4
466,Gabriel Pereira,0.1,0.09,0.18,47.8,0.7,1.6,0.1,0.0,0.0,19.0,2021,19,br BRA,Corinthians,br Série A,21,1326,14.7,17,4,6,FWMF,60c4ac82
467,Vitor Bueno,0.1,0.05,0.13,38.5,1.0,2.6,0.1,0.0,0.0,18.7,2020,25,br BRA,São Paulo,br Série A,31,1330,14.8,11,20,4,FWMF,5752f96d
468,Nikão,0.1,0.04,0.13,31.3,0.7,2.2,0.1,0.0,0.0,22.7,2021,28,br BRA,Ath Paranaense,br Série A,27,1997,22.2,21,6,1,FWMF,a34bb194
469,Cauly Oliveira Souza,0.1,0.09,0.29,29.8,0.5,1.6,0.1,0.0,0.0,19.0,2024,28,br BRA,Bahia,br Série A,38,2676,29.7,34,4,0,MFFW,2b53f7a5
470,Tomás Cuello,0.1,0.05,0.14,35.5,1.0,2.8,0.1,0.0,0.0,23.1,2024,23,ar ARG,Ath Paranaense,br Série A,32,2010,22.3,23,9,0,FWMF,5c8615dd
471,Marcos Vinicios Sorriso,0.1,0.09,0.22,39.1,0.6,1.5,0.1,0.0,0.0,17.3,2022,20,br BRA,Red Bull Bragantino,br Série A,31,1351,15.0,15,16,6,FW,e816a8ee
472,Igor Gomes,0.1,0.08,0.25,33.3,0.5,1.6,0.1,0.0,0.0,19.5,2019,19,br BRA,São Paulo,br Série A,27,1356,15.1,11,16,9,MFFW,6a7fb945
473,André,0.1,0.04,0.25,14.8,0.3,1.8,0.1,0.1,0.1,18.3,2021,30,br BRA,Sport Recife,br Série A,20,1363,15.1,14,6,0,FW,13b52dec
474,Igor Gomes,0.1,0.11,0.40,26.3,0.3,1.2,0.1,0.0,0.0,20.8,2023,23,br BRA,Atlético Mineiro,br Série A,29,1374,15.3,17,12,8,MFFW,6a7fb945
475,Matheusinho,0.1,0.07,0.20,37.0,0.7,1.8,0.1,0.0,0.0,19.6,2022,23,br BRA,América (MG),br Série A,28,1375,15.3,13,15,0,MFFW,74f5a96d
476,André Luis,0.1,0.09,0.20,43.5,0.7,1.5,0.1,0.0,0.0,21.2,2019,21,br BRA,Fortaleza,br Série A,24,1382,15.4,17,7,6,FWMF,821097f7
477,Valdívia,0.1,0.05,0.17,29.3,0.8,2.7,0.1,0.0,0.0,21.0,2022,27,br BRA,Cuiabá,br Série A,27,1384,15.4,17,10,1,MFFW,e12be458
478,Janderson,0.1,0.08,0.27,27.5,0.5,1.7,0.1,0.0,0.0,18.6,2020,20,br BRA,2 Teams,br Série A,33,2081,23.1,24,9,0,FW,06c5bcf7
479,Marquinhos,0.1,0.13,0.60,20.8,0.2,1.0,0.1,0.0,0.0,19.4,2020,23,br BRA,Sport Recife,br Série A,32,2109,23.4,29,3,0,FWMF,a9c95220
480,Agustín Canobbio,0.1,0.08,0.29,29.2,0.4,1.5,0.1,0.0,0.0,20.9,2022,23,uy URU,Ath Paranaense,br Série A,25,1408,15.6,18,7,2,FW,4f5a2f38
481,Agustín Canobbio,0.1,0.04,0.10,43.3,1.2,2.8,0.1,0.0,0.0,20.1,2023,24,uy URU,Ath Paranaense,br Série A,29,2116,23.5,22,7,1,FWMF,4f5a2f38
482,Lima,0.1,0.05,0.16,33.3,0.8,2.4,0.1,0.0,0.0,21.3,2021,24,br BRA,Ceará,br Série A,33,2116,23.5,26,7,3,FW,d215c7de
483,Everton Soares,0.1,0.05,0.14,31.8,0.9,2.8,0.1,0.0,0.0,17.5,2022,25,br BRA,Flamengo,br Série A,20,1416,15.7,15,5,0,FWMF,b1cbc666
484,Ferreira,0.1,0.04,0.12,32.1,1.1,3.4,0.1,0.0,0.0,20.1,2021,23,br BRA,Grêmio,br Série A,29,2134,23.7,24,5,0,FWMF,1414e902
485,Carlos de Pena,0.1,0.06,0.22,29.0,0.6,2.0,0.1,0.0,0.0,23.6,2023,30,uy URU,Internacional,br Série A,27,1425,15.8,16,11,5,MFFW,6b915aa1
486,Vitinho,0.1,0.05,0.13,40.5,0.9,2.3,0.1,0.0,0.0,16.5,2022,22,br BRA,Ath Paranaense,br Série A,25,1427,15.9,17,8,0,FW,06d4b2e4
487,Nikão,0.1,0.08,0.20,39.5,0.6,1.6,0.1,0.0,0.0,22.6,2020,27,br BRA,Ath Paranaense,br Série A,26,2148,23.9,25,1,0,FWMF,a34bb194
488,Wesley,0.1,0.07,0.15,43.3,0.8,1.9,0.1,0.0,0.0,20.1,2024,18,br BRA,Corinthians,br Série A,23,1438,16.0,17,6,0,FW,acf5672b
489,Pablo,0.1,0.05,0.20,24.4,0.6,2.6,0.1,0.0,0.0,14.1,2020,27,br BRA,São Paulo,br Série A,30,1439,16.0,14,16,2,FWMF,1ad394c5
490,Pedro Rocha Neves,0.1,0.05,0.13,39.5,0.9,2.3,0.1,0.0,0.0,19.9,2019,24,br BRA,Cruzeiro,br Série A,23,1468,16.3,17,6,1,FWMF,b33e0095
491,Calebe,0.1,0.05,0.13,38.5,0.9,2.4,0.1,0.0,0.0,21.0,2023,22,br BRA,Fortaleza,br Série A,29,1479,16.4,16,13,1,MFFW,c84af55e
492,Dudu,0.1,0.06,0.14,42.4,0.9,2.0,0.1,0.0,0.0,18.1,2021,29,br BRA,Palmeiras,br Série A,21,1482,16.5,17,4,1,FWMF,895ef5ec
493,Álvaro Barreal,0.1,0.05,0.18,28.9,0.7,2.3,0.1,0.0,0.0,22.1,2024,23,ar ARG,Cruzeiro,br Série A,28,1488,16.5,17,11,2,MFFW,ffca53e1
494,Ademir Santos,0.1,0.05,0.15,33.3,0.8,2.4,0.1,0.0,0.0,17.1,2022,26,br BRA,Atlético Mineiro,br Série A,35,1492,16.6,15,20,2,FWMF,4b7d58c2
495,Romarinho,0.1,0.08,0.23,32.5,0.5,1.6,0.1,0.0,0.0,22.2,2019,24,br BRA,Fortaleza,br Série A,32,2281,25.3,29,3,3,MFFW,1e7d2cc0
496,Rómulo Otero,0.1,0.04,0.11,41.3,1.1,2.7,0.1,0.0,0.0,27.2,2020,27,ve VEN,Corinthians,br Série A,24,1527,17.0,18,6,1,FWMF,96fdc3c0
497,Janderson,0.1,0.07,0.25,26.7,0.5,1.8,0.1,0.0,0.0,20.4,2021,21,br BRA,Atl Goianiense,br Série A,34,2308,25.6,25,9,0,FWMF,06c5bcf7
498,Talles Magno,0.1,0.09,0.27,31.4,0.4,1.4,0.1,0.0,0.0,18.1,2020,17,br BRA,Vasco da Gama,br Série A,34,2311,25.7,30,4,0,FWMF,64c98878
499,Bruno Henrique,0.1,0.05,0.13,42.1,0.9,2.2,0.1,0.0,0.0,16.3,2023,32,br BRA,Flamengo,br Série A,29,1543,17.1,14,15,1,FWMF,5edff24f
500,Igor Gomes,0.1,0.08,0.21,37.8,0.5,1.4,0.1,0.0,0.0,19.7,2020,20,br BRA,São Paulo,br Série A,37,2391,26.6,29,8,0,MFFW,6a7fb945
501,Gustavo Campanharo,0.1,0.08,0.33,23.1,0.3,1.5,0.1,0.0,0.0,24.7,2019,26,br BRA,Chapecoense,br Série A,25,1599,17.8,20,5,7,MFFW,96f2d977
502,Vinícius,0.1,0.04,0.14,32.4,0.8,2.6,0.1,0.0,0.0,21.9,2022,30,br BRA,Ceará,br Série A,31,2399,26.7,28,3,0,FWMF,ee01c84d
503,Jeffinho,0.1,0.04,0.10,38.2,1.2,3.1,0.1,0.0,0.0,20.0,2022,22,br BRA,Botafogo (RJ),br Série A,24,1604,17.8,18,6,2,FW,45cce300
504,Keno,0.1,0.02,0.06,42.9,1.0,2.3,0.1,0.1,0.1,20.7,2023,33,br BRA,Fluminense,br Série A,24,1613,17.9,18,6,1,FWMF,98558c11
505,Tomás Cuello,0.1,0.04,0.18,22.0,0.6,2.8,0.1,0.0,0.0,24.1,2022,21,ar ARG,Ath Paranaense,br Série A,31,1616,18.0,19,12,2,FW,5c8615dd
506,Yago Pikachu,0.1,0.06,0.29,20.0,0.4,1.9,0.1,0.0,0.0,17.9,2024,31,br BRA,Fortaleza,br Série A,32,1633,18.1,18,14,3,FWMF,462f1e13
507,Giuliano de Paula,0.1,0.09,0.29,30.4,0.4,1.3,0.1,0.0,0.0,19.3,2023,32,br BRA,Corinthians,br Série A,30,1633,18.1,19,11,6,MFFW,ab1b205d
508,Gustavo,0.1,0.04,0.13,31.9,0.8,2.6,0.1,0.0,0.0,22.7,2021,18,br BRA,Sport Recife,br Série A,27,1636,18.2,21,6,6,MFFW,226c2775
509,Gerson,0.1,0.08,0.23,33.3,0.5,1.4,0.1,0.0,0.0,19.5,2024,26,br BRA,Flamengo,br Série A,32,2457,27.3,27,5,0,MFFW,8827bf46
510,Patrick,0.1,0.08,0.27,28.2,0.4,1.4,0.1,0.0,0.0,13.0,2021,28,br BRA,Internacional,br Série A,34,2485,27.6,32,2,0,FWMF,92add14e
511,Rossi,0.1,0.07,0.15,44.8,0.7,1.5,0.1,0.0,0.0,17.7,2021,27,br BRA,Bahia,br Série A,24,1691,18.8,20,4,0,FWMF,80274d82
512,Rafael Gava,0.1,0.06,0.22,25.0,0.5,1.9,0.1,0.0,0.0,21.1,2021,27,br BRA,Cuiabá,br Série A,31,1704,18.9,20,11,3,MFFW,713e1a36
513,Martín Benítez,0.1,0.07,0.20,35.7,0.5,1.5,0.1,0.0,0.0,25.4,2020,25,ar ARG,Vasco da Gama,br Série A,24,1722,19.1,21,3,0,MFFW,c122e34e
514,Everton Ribeiro,0.1,0.10,0.25,40.0,0.4,1.0,0.1,0.0,0.0,18.8,2021,31,br BRA,Flamengo,br Série A,22,1723,19.1,22,0,0,FWMF,68fb50a2
515,Airton,0.1,0.06,0.15,36.1,0.7,1.9,0.1,0.0,0.0,17.2,2022,22,br BRA,Atl Goianiense,br Série A,33,1738,19.3,22,11,2,FW,751ef075
516,Patrick,0.1,0.08,0.50,15.4,0.2,1.3,0.1,0.0,0.0,14.6,2019,26,br BRA,Internacional,br Série A,24,1740,19.3,20,4,2,MFFW,92add14e
517,Luiz Fernando,0.1,0.04,0.13,30.0,0.8,2.6,0.1,0.0,0.0,15.9,2022,25,br BRA,Atl Goianiense,br Série A,29,1742,19.4,23,6,1,FWMF,824ed016
518,Michel Araujo,0.1,0.06,0.18,30.6,0.6,1.8,0.1,0.0,0.0,18.8,2023,26,uy URU,São Paulo,br Série A,32,1768,19.6,19,13,1,FWMF,1159e4ae
519,Everton Ribeiro,0.1,0.08,0.15,54.2,0.7,1.2,0.1,0.0,0.0,17.8,2022,32,br BRA,Flamengo,br Série A,30,1787,19.9,19,11,1,MFFW,68fb50a2
520,Yago,0.1,0.09,0.25,34.8,0.4,1.2,0.1,0.0,0.0,22.9,2020,24,br BRA,Fluminense,br Série A,28,1789,19.9,20,8,3,MFFW,e2add0e7
521,Caio Paulista,0.1,0.06,0.29,20.6,0.3,1.7,0.1,0.0,0.0,16.8,2021,22,br BRA,Fluminense,br Série A,27,1810,20.1,24,3,1,FW,701bb051
522,Jhon Arias,0.1,0.07,0.33,21.4,0.3,1.4,0.1,0.0,0.0,18.6,2021,23,co COL,Fluminense,br Série A,19,905,10.1,9,10,1,FWMF,86d96066
523,Apodi,0.1,0.06,0.25,23.5,0.4,1.7,0.1,0.0,0.0,17.3,2022,35,br BRA,Goiás,br Série A,18,908,10.1,10,8,5,MFFW,affbe6bc
524,Victor Sá,0.1,0.11,0.33,33.3,0.3,0.9,0.1,0.0,0.0,17.1,2022,27,br BRA,Botafogo (RJ),br Série A,27,1832,20.4,21,6,0,FW,1a1033a1
525,Eros Mancuso,0.1,0.06,0.17,35.3,0.6,1.7,0.1,0.0,0.0,24.2,2024,24,ar ARG,Fortaleza,br Série A,12,923,10.3,11,1,2,DFFW,e2d40bc5
526,Wellington Silva,0.1,0.05,0.14,35.0,0.7,1.9,0.1,0.0,0.0,20.1,2019,26,br BRA,Internacional,br Série A,21,925,10.3,8,13,10,FWMF,5c60f49c
527,Miguel Figueira,0.1,0.06,0.20,27.8,0.5,1.7,0.1,0.0,0.0,26.3,2020,19,br BRA,Goiás,br Série A,23,933,10.4,11,12,4,MFFW,99362ebe
528,Federico Zaracho,0.1,0.05,0.22,21.4,0.4,2.0,0.1,0.0,0.0,14.9,2022,23,ar ARG,Atlético Mineiro,br Série A,26,1884,20.9,24,2,0,MFFW,803d5265
529,Alisson,0.1,0.06,0.17,35.3,0.6,1.6,0.1,0.0,0.0,18.8,2022,28,br BRA,São Paulo,br Série A,15,943,10.5,10,5,2,MFFW,99139fa4
530,Caio Vidal,0.1,0.05,0.14,31.8,0.7,2.1,0.1,0.0,0.0,20.1,2021,20,br BRA,Internacional,br Série A,20,944,10.5,11,9,14,FWMF,599ab970
531,Leonardo Valencia,0.1,0.04,0.17,22.2,0.6,2.6,0.1,0.0,0.0,25.2,2019,27,cl CHI,Botafogo (RJ),br Série A,21,949,10.5,9,12,13,MFFW,e333f531
532,Gustavinho,0.1,0.07,0.20,35.7,0.5,1.3,0.1,0.0,0.0,24.4,2024,19,br BRA,Red Bull Bragantino,br Série A,27,954,10.6,11,16,9,MFFW,9525ddcd
533,Lautaro Díaz,0.1,0.06,0.14,38.9,0.7,1.7,0.1,0.0,0.0,14.9,2024,25,ar ARG,Cruzeiro,br Série A,18,959,10.7,11,7,0,FW,28b89ba7
534,Alisson,0.1,0.04,0.09,41.1,1.1,2.6,0.1,0.0,0.0,16.3,2020,26,br BRA,Grêmio,br Série A,24,1943,21.6,24,0,0,FW,99139fa4
535,Federico Zaracho,0.1,0.10,0.50,19.0,0.2,1.0,0.1,0.0,0.0,16.6,2023,24,ar ARG,Atlético Mineiro,br Série A,27,1947,21.6,22,5,0,MFFW,803d5265
536,Vinícius,0.1,0.05,0.20,24.4,0.5,1.9,0.1,0.0,0.0,19.9,2022,28,br BRA,Goiás,br Série A,25,1949,21.7,22,3,0,MFFW,b6bd2b80
537,Jonathan David Gómez,0.1,0.05,0.33,14.3,0.3,1.9,0.1,0.0,0.0,22.9,2020,30,ar ARG,Sport Recife,br Série A,24,983,10.9,12,12,3,MFFW,c911d311
538,Mateus Vital,0.1,0.04,0.15,26.0,0.6,2.3,0.1,0.0,0.0,22.3,2019,20,br BRA,Corinthians,br Série A,31,1967,21.9,21,10,5,MFFW,db9c8fa4
539,Biel,0.1,0.06,0.33,17.6,0.3,1.5,0.1,0.0,0.0,20.5,2021,19,br BRA,Fluminense,br Série A,15,993,11.0,11,4,1,FWMF,1cb046cd
540,Tomas Pochettino,0.1,0.04,0.10,39.2,0.9,2.3,0.1,0.0,0.0,22.3,2023,26,ar ARG,Fortaleza,br Série A,35,1991,22.1,26,9,3,MFFW,fb36aa6b
541,Vinícius Araújo,0.1,0.05,0.08,61.9,1.2,1.9,0.1,0.0,0.0,16.1,2019,25,br BRA,2 Teams,br Série A,15,1001,11.1,10,5,2,FW,5d6b9376
542,Carlos Eduardo,0.1,0.06,0.25,25.0,0.4,1.4,0.1,0.0,0.0,20.9,2021,24,br BRA,Ath Paranaense,br Série A,22,1006,11.2,11,11,12,FWMF,27c23008
