,,,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Performance,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,,-additional
543,Leandro Emmanuel Martínez,0.1,0.10,0.50,20.0,0.2,0.9,0.1,0.0,0.0,18.7,2024,29,ar ARG,Fortaleza,br Série A,20,1011,11.2,11,9,7,MFFW,74758396
544,Kelvyn,0.1,0.08,0.17,46.2,0.5,1.2,0.1,0.0,0.0,18.0,2021,21,br BRA,Ceará,br Série A,22,1013,11.3,10,12,16,DFFW,8b992778
545,Matheus Pereira,0.1,0.05,0.13,42.1,0.7,1.7,0.1,0.0,0.0,21.6,2023,26,br BRA,Cruzeiro,br Série A,15,1022,11.4,12,3,0,FWMF,b04ee927
546,Vitinho,0.1,0.03,0.10,29.9,0.9,2.9,0.1,0.0,0.0,18.9,2023,23,br BRA,Red Bull Bragantino,br Série A,33,2049,22.8,23,10,0,FWMF,06d4b2e4
547,Lucas Braga,0.1,0.13,0.33,40.0,0.3,0.7,0.1,0.0,0.0,14.4,2020,23,br BRA,Santos,br Série A,30,2064,22.9,24,6,2,FWMF,8a0a73ad
548,Gustavo Mosquito,0.1,0.07,0.25,27.6,0.3,1.3,0.1,0.0,0.0,14.2,2021,23,br BRA,Corinthians,br Série A,37,2066,23.0,21,16,0,FWMF,c9ed46c4
549,Lucas Fernandes,0.1,0.06,0.11,50.0,0.8,1.6,0.1,0.0,0.0,27.1,2024,26,br BRA,Cuiabá,br Série A,21,1039,11.5,11,10,5,MFFW,a109d777
550,Wellington Rato,0.1,0.05,0.17,27.3,0.5,1.9,0.1,0.0,0.0,17.0,2024,31,br BRA,São Paulo,br Série A,25,1052,11.7,10,15,2,FWMF,598917cf
551,Max,0.1,0.03,0.17,19.4,0.5,2.6,0.1,0.0,0.0,25.3,2021,19,br BRA,2 Teams,br Série A,21,1053,11.7,13,8,5,MFFW,67c3efa4
552,Éverton,0.1,0.13,0.25,50.0,0.3,0.7,0.1,0.0,0.0,18.4,2019,30,br BRA,São Paulo,br Série A,16,1060,11.8,12,4,1,FWMF,f50a3570
553,Lima,0.1,0.04,0.08,50.0,1.1,2.2,0.1,0.0,0.0,19.9,2019,22,br BRA,Ceará,br Série A,15,1063,11.8,14,1,6,FWMF,d215c7de
554,Gabriel Menino,0.1,0.03,0.14,24.1,0.6,2.4,0.1,0.0,0.0,23.2,2024,23,br BRA,Palmeiras,br Série A,27,1067,11.9,11,16,4,MFFW,01819e70
555,Mauro Zárate,0.1,0.03,0.17,20.0,0.5,2.5,0.1,0.0,0.0,24.5,2021,33,ar ARG,América (MG),br Série A,16,1070,11.9,14,2,0,FWMF,cc18ff4c
556,Júnior Santos,0.1,0.04,0.14,28.0,0.6,2.1,0.1,0.0,0.0,16.4,2022,27,br BRA,Botafogo (RJ),br Série A,15,1071,11.9,14,1,1,FWMF,9109e933
557,Alejo Cruz,0.1,0.03,0.17,18.2,0.3,1.4,0.0,0.0,0.0,24.0,2024,23,uy URU,Atl Goianiense,br Série A,36,2156,24.0,22,14,1,FWMF,010cf7a3
558,Shaylon,0.1,0.02,0.08,24.5,0.5,2.0,0.0,0.0,0.1,23.1,2024,26,br BRA,Atl Goianiense,br Série A,35,2167,24.1,25,10,2,FWMF,69c11ef0
559,Cristian Pavón,0.1,0.03,0.09,32.4,0.9,2.8,0.1,0.0,0.0,19.7,2024,28,ar ARG,Grêmio,br Série A,21,1087,12.1,16,5,2,FWMF,a664b026
560,Salomon Kalou,0.1,0.04,0.13,29.6,0.7,2.2,0.1,0.0,0.0,13.5,2020,34,ci CIV,Botafogo (RJ),br Série A,25,1097,12.2,11,14,3,FWMF,2042d931
561,Rossi,0.1,0.02,0.06,37.5,0.7,1.9,0.0,0.0,0.1,19.0,2019,25,br BRA,Vasco da Gama,br Série A,29,2234,24.8,26,3,0,FWMF,80274d82
562,Ganso,0.1,0.02,0.08,31.7,0.5,1.6,0.0,0.0,0.0,22.5,2019,29,br BRA,Fluminense,br Série A,28,2244,24.9,26,2,0,MFFW,23593121
563,José Luis Rodríguez Bebanz,0.1,0.05,0.25,18.2,0.3,1.8,0.1,0.0,0.0,23.0,2024,26,uy URU,Vasco da Gama,br Série A,22,1123,12.5,12,10,13,DFFW,6f1a7f76
564,Alex Teixeira,0.1,0.04,0.14,29.2,0.6,1.9,0.1,0.0,0.0,15.2,2023,33,br BRA,Vasco da Gama,br Série A,22,1131,12.6,13,9,16,FWMF,ae530c73
565,Leo Augusto Pereira,0.1,0.05,0.20,22.7,0.4,1.7,0.1,0.0,0.0,18.4,2022,21,br BRA,Atl Goianiense,br Série A,30,1134,12.6,6,24,3,FWMF,a3818875
566,Marcos Vinicios Sorriso,0.1,0.03,0.09,36.7,0.9,2.4,0.1,0.0,0.0,18.4,2021,19,br BRA,Juventude,br Série A,36,2284,25.4,23,13,0,FWMF,e816a8ee
567,Yuri,0.1,0.03,0.17,18.8,0.5,2.5,0.1,0.0,0.0,23.4,2020,19,br BRA,Fortaleza,br Série A,28,1154,12.8,8,20,0,FWMF,496591bb
568,Eric Ramires,0.1,0.09,0.25,36.4,0.3,0.9,0.1,0.0,0.0,22.5,2022,21,br BRA,Red Bull Bragantino,br Série A,25,1157,12.9,11,14,2,MFFW,37faa4cb
569,Bruno Tubarão,0.1,0.03,0.14,21.2,0.5,2.6,0.1,0.0,0.0,18.6,2020,24,br BRA,Red Bull Bragantino,br Série A,28,1161,12.9,13,15,2,FWMF,5411ef4f
570,Igor Vinícius de Souza,0.1,0.09,0.50,18.2,0.2,0.9,0.1,0.0,0.0,19.5,2022,24,br BRA,São Paulo,br Série A,23,1162,12.9,11,12,8,DFFW,ec95088d
571,Gustavo Scarpa,0.1,0.02,0.07,33.3,1.2,3.5,0.1,0.0,0.0,26.6,2020,26,br BRA,Palmeiras,br Série A,26,1168,13.0,10,16,9,MFFW,2964fd20
572,Héctor Bustamante,0.1,0.04,0.25,15.4,0.3,2.0,0.1,0.0,0.0,21.2,2019,23,py PAR,CSA,br Série A,19,1168,13.0,14,5,1,FWMF,453ddcac
573,Reinaldo,0.1,0.00,0.00,40.9,0.3,0.8,0.0,0.1,0.1,23.7,2021,31,br BRA,São Paulo,br Série A,30,2339,26.0,28,2,5,DFFW,ab3edc87
574,Kieza,0.1,0.04,0.09,45.8,0.8,1.8,0.1,0.0,0.0,14.0,2019,32,br BRA,Fortaleza,br Série A,24,1172,13.0,10,14,12,FW,7c950b48
575,Ewerton,0.1,0.05,0.17,31.6,0.5,1.4,0.1,0.0,0.0,22.9,2024,23,br BRA,Juventude,br Série A,24,1189,13.2,12,12,4,DFFW,c41aca39
576,Rômulo,0.1,0.05,0.14,31.8,0.5,1.7,0.1,0.0,0.0,16.7,2022,19,br BRA,Ath Paranaense,br Série A,26,1194,13.3,10,16,7,FW,03dd053e
577,Rubens,0.1,0.05,0.33,15.8,0.2,1.4,0.1,0.0,0.0,17.6,2024,22,br BRA,Atlético Mineiro,br Série A,19,1194,13.3,15,4,1,DFFW,ae23d044
578,Chico,0.1,0.00,0.00,36.8,0.5,1.4,0.0,0.1,0.1,24.5,2021,29,br BRA,Juventude,br Série A,32,1204,13.4,10,22,6,MFFW,bad7d8a9
579,Natanael,0.1,0.06,0.33,16.7,0.2,1.3,0.1,0.0,0.0,24.9,2022,31,br BRA,Avaí,br Série A,16,1207,13.4,14,2,5,DFFW,ed560575
580,Everton Ribeiro,0.1,0.04,0.15,24.1,0.5,2.0,0.1,0.0,0.0,22.6,2019,29,br BRA,Flamengo,br Série A,32,2454,27.3,27,5,0,MFFW,68fb50a2
581,Everaldo,0.1,0.05,0.25,20.0,0.3,1.5,0.1,0.0,0.0,20.4,2023,28,br BRA,América (MG),br Série A,21,1233,13.7,15,6,9,FWMF,bdb57777
582,Allano,0.1,0.03,0.08,40.0,0.9,2.2,0.1,0.0,0.0,18.9,2023,27,br BRA,Goiás,br Série A,19,1237,13.7,15,4,0,FW,9c1245f8
583,Clayson,0.1,0.04,0.12,32.7,0.6,1.9,0.1,0.0,0.0,21.8,2021,25,br BRA,Cuiabá,br Série A,31,2500,27.8,30,1,0,MFFW,85c1009d
584,Thiago Almada,0.1,0.03,0.10,25.6,0.7,2.8,0.1,0.0,0.1,22.7,2024,22,ar ARG,Botafogo (RJ),br Série A,17,1252,13.9,16,1,0,FWMF,27f33438
585,Adailson Dadá,0.1,0.04,0.18,22.9,0.4,1.7,0.1,0.0,0.0,23.1,2022,24,br BRA,Goiás,br Série A,33,2508,27.9,30,3,0,MFFW,2a75cc09
586,Jean Mota,0.1,0.00,0.00,33.3,0.7,2.1,0.0,0.1,0.1,24.3,2019,25,br BRA,Santos,br Série A,27,1272,14.1,13,14,10,MFFW,1ee0513b
587,Victor Hugo,0.1,0.07,0.33,20.0,0.2,1.1,0.1,0.0,0.0,17.5,2023,18,br BRA,Flamengo,br Série A,30,1274,14.2,12,18,8,MFFW,33fca7f7
588,Juan Santos,0.1,0.06,0.13,44.4,0.6,1.3,0.1,0.0,0.0,13.2,2023,20,br BRA,São Paulo,br Série A,27,1279,14.2,13,14,11,FW,ad89aa96
589,Allano,0.1,0.03,0.11,27.3,0.6,2.3,0.1,0.0,0.0,17.1,2024,28,br BRA,Criciúma,br Série A,24,1296,14.4,13,11,3,FWMF,9c1245f8
590,Gabriel Carvalho,0.1,0.03,0.11,30.0,0.6,2.1,0.1,0.0,0.0,17.7,2024,16,br BRA,Internacional,br Série A,24,1301,14.5,15,9,12,FWMF,0f335ab2
591,Edenílson,0.1,0.06,0.11,56.3,0.6,1.1,0.1,0.0,0.0,18.4,2024,34,br BRA,Grêmio,br Série A,30,1333,14.8,17,13,3,MFFW,4e50f20e
592,Wellington Silva,0.1,0.05,0.17,30.0,0.4,1.3,0.1,0.0,0.0,18.3,2023,30,br BRA,Cuiabá,br Série A,29,1336,14.8,13,16,5,FW,5c60f49c
593,Rodolfo,0.1,0.03,0.09,29.7,0.7,2.5,0.1,0.0,0.0,15.8,2021,28,br BRA,América (MG),br Série A,31,1337,14.9,12,19,3,FWMF,cf130a53
594,Edenílson,0.1,0.13,0.33,37.5,0.2,0.5,0.1,0.0,0.0,20.0,2023,33,br BRA,Atlético Mineiro,br Série A,28,1368,15.2,15,13,7,MFFW,4e50f20e
595,Igor Coronado,0.1,0.03,0.13,22.2,0.5,2.4,0.1,0.0,0.0,26.8,2024,31,br BRA,Corinthians,br Série A,30,1378,15.3,11,19,2,MFFW,8d9544ea
596,Carlinhos,0.1,0.03,0.14,21.2,0.5,2.2,0.1,0.0,0.0,27.1,2020,25,br BRA,Vasco da Gama,br Série A,28,1381,15.3,14,14,4,MFFW,e19ca5b9
597,Matheus de Vargas,0.1,0.04,0.17,23.1,0.4,1.7,0.1,0.0,0.0,24.1,2020,23,br BRA,Atl Goianiense,br Série A,29,1391,15.5,13,16,4,MFFW,e43a07d4
598,Jonathan Cafu,0.1,0.07,0.14,50.0,0.5,0.9,0.1,0.0,0.0,13.3,2024,32,br BRA,Cuiabá,br Série A,28,1392,15.5,14,14,8,FWMF,8d043f1d
599,Keno,0.1,0.02,0.09,26.2,0.7,2.7,0.1,0.0,0.0,19.8,2024,34,br BRA,Fluminense,br Série A,27,1397,15.5,15,12,3,FWMF,98558c11
600,Fernando Sobral,0.1,0.02,0.10,20.8,0.3,1.5,0.0,0.0,0.0,23.7,2020,25,br BRA,Ceará,br Série A,34,2803,31.1,32,2,0,MFFW,c012aacd
601,Felipe Silva,0.1,0.05,0.13,36.4,0.5,1.4,0.1,0.0,0.0,22.7,2019,28,br BRA,Ceará,br Série A,24,1415,15.7,17,7,8,MFFW,e22037ea
602,Mauricio,0.1,0.03,0.08,33.3,0.8,2.3,0.1,0.0,0.0,19.9,2021,19,br BRA,Internacional,br Série A,30,1420,15.8,15,15,2,MFFW,bf4cbc22
603,Rodrigo Nestor,0.1,0.03,0.08,34.3,0.7,2.2,0.1,0.0,0.0,19.4,2023,22,br BRA,São Paulo,br Série A,25,1451,16.1,17,8,1,MFFW,c04ebe99
604,Neílton,0.1,0.04,0.10,35.7,0.6,1.7,0.1,0.0,0.0,22.7,2020,25,br BRA,Coritiba,br Série A,24,1458,16.2,16,8,4,FWMF,689299a6
605,Christian,0.1,0.04,0.14,28.0,0.4,1.5,0.1,0.0,0.0,16.1,2024,23,br BRA,Ath Paranaense,br Série A,24,1507,16.7,17,7,4,MFFW,a856b456
606,Andrés D'Alessandro,0.1,0.03,0.10,33.3,0.6,1.8,0.1,0.0,0.1,25.2,2019,37,ar ARG,Internacional,br Série A,23,1515,16.8,15,8,2,MFFW,6a11048a
607,Ângelo,0.1,0.04,0.11,32.1,0.5,1.6,0.1,0.0,0.0,20.5,2022,17,br BRA,Santos,br Série A,27,1532,17.0,16,11,0,FWMF,737945d9
608,Lucas Mugni,0.1,0.06,0.33,17.6,0.2,1.0,0.1,0.0,0.0,16.8,2020,28,ar ARG,Sport Recife,br Série A,23,1535,17.1,17,6,4,MFFW,f87818d3
609,Yeferson Soteldo,0.1,0.03,0.09,36.7,0.6,1.7,0.1,0.0,0.0,20.9,2023,25,ve VEN,Santos,br Série A,22,1556,17.3,17,5,0,FWMF,bbb6c951
610,Nicolás López,0.1,0.02,0.06,31.0,1.0,3.3,0.1,0.0,0.0,20.7,2019,25,uy URU,Internacional,br Série A,25,1586,17.6,19,6,5,FWMF,8d2ee5e2
611,Julián Palacios,0.1,0.03,0.10,31.3,0.6,1.8,0.1,0.0,0.0,25.3,2023,23,ar ARG,Goiás,br Série A,27,1632,18.1,19,8,2,FWMF,37dfd961
612,Wescley,0.1,0.04,0.13,33.3,0.4,1.3,0.1,0.0,0.0,22.9,2021,29,br BRA,Juventude,br Série A,28,1640,18.2,18,10,2,FWMF,5a43c680
613,Capixaba,0.1,0.05,0.17,27.3,0.3,1.2,0.1,0.0,0.0,21.4,2022,25,br BRA,Juventude,br Série A,27,1652,18.4,20,7,3,FWMF,ea2634a1
614,Lucas Piton,0.1,0.13,0.50,25.0,0.1,0.4,0.1,0.0,0.0,19.5,2022,21,br BRA,Corinthians,br Série A,28,1770,19.7,20,8,7,DFFW,defce7f1
615,André Luis,0.1,0.03,0.13,22.2,0.4,1.8,0.1,0.0,0.0,18.3,2021,23,br BRA,Atl Goianiense,br Série A,30,1781,19.8,21,9,1,FWMF,821097f7
616,Ramiro Benetti,0.0,0.03,0.09,35.5,0.5,1.5,0.0,0.0,0.0,20.4,2020,26,br BRA,Corinthians,br Série A,31,1803,20.0,20,11,2,MFFW,96d14fe7
617,Bruno Nazário,0.0,0.03,0.11,24.3,0.4,1.8,0.0,0.0,0.0,20.7,2020,24,br BRA,Botafogo (RJ),br Série A,26,1809,20.1,22,4,1,FWMF,dc1d79a5
618,Michel Araujo,0.0,0.02,0.09,26.2,0.5,2.0,0.0,0.0,0.0,20.0,2020,23,uy URU,Fluminense,br Série A,29,1857,20.6,23,6,0,MFFW,1159e4ae
619,Robinho,0.0,0.03,0.14,21.9,0.3,1.5,0.0,0.0,0.0,21.0,2019,31,br BRA,Cruzeiro,br Série A,27,1872,20.8,22,5,4,MFFW,8f8809b9
620,Lucas Lima,0.0,0.04,0.25,17.4,0.2,1.1,0.0,0.0,0.0,21.8,2020,29,br BRA,Palmeiras,br Série A,32,1893,21.0,23,9,2,MFFW,49d03337
621,Henry Mosquera,0.0,0.02,0.08,29.5,0.6,2.0,0.0,0.0,0.0,17.1,2024,22,co COL,Red Bull Bragantino,br Série A,34,1934,21.5,18,16,1,FWMF,be206004
622,Osvaldo,0.0,0.03,0.09,35.5,0.5,1.4,0.0,0.0,0.0,20.9,2020,32,br BRA,Fortaleza,br Série A,36,1975,21.9,25,11,0,FWMF,deb6b945
623,Stiven Mendoza,0.0,0.02,0.07,28.8,0.7,2.3,0.0,0.0,0.0,19.5,2021,28,co COL,Ceará,br Série A,28,2001,22.2,24,4,0,FWMF,e68f2cb4
624,Fernando Camilo Farias,0.0,0.02,0.08,27.3,0.5,1.9,0.0,0.0,0.0,24.0,2019,32,br BRA,Chapecoense,br Série A,28,2045,22.7,25,3,1,MFFW,48c1930e
625,Lourenço,0.0,0.03,0.08,36.1,0.6,1.5,0.0,0.0,0.0,27.0,2019,21,br BRA,Avaí,br Série A,27,2110,23.4,25,2,6,DFFW,c9f9210f
626,Luiz Fernando,0.0,0.03,0.13,25.8,0.3,1.3,0.0,0.0,0.0,18.9,2019,22,br BRA,Botafogo (RJ),br Série A,32,2114,23.5,27,5,2,MFFW,824ed016
627,Chico,0.0,0.00,0.00,30.3,0.4,1.4,0.0,0.0,0.0,24.9,2022,30,br BRA,Juventude,br Série A,33,2177,24.2,26,7,3,MFFW,bad7d8a9
628,Chico,0.0,0.02,0.09,25.6,0.5,1.8,0.0,0.0,0.0,21.2,2020,28,br BRA,Atl Goianiense,br Série A,33,2195,24.4,27,6,2,MFFW,bad7d8a9
629,Lucas Lima,0.0,0.04,0.20,21.7,0.2,0.9,0.0,0.0,0.0,21.0,2023,32,br BRA,Santos,br Série A,35,2206,24.5,28,7,0,MFFW,49d03337
630,Lucas Braga,0.0,0.03,0.07,38.9,0.5,1.4,0.0,0.0,0.0,20.1,2021,24,br BRA,Santos,br Série A,32,2306,25.6,23,9,1,FWMF,8a0a73ad
631,Mayke,0.0,0.13,0.50,25.0,0.1,0.3,0.0,0.0,0.0,17.7,2023,30,br BRA,Palmeiras,br Série A,33,2498,27.8,28,5,0,DFFW,47431289
632,Dani Alves,0.0,0.02,0.09,26.8,0.4,1.4,0.0,0.0,0.0,25.8,2020,36,br BRA,São Paulo,br Série A,30,2688,29.9,30,0,0,MFFW,c9e99e49
633,Artur,0.0,0.01,0.04,31.9,0.7,2.3,0.0,0.0,0.0,20.3,2020,21,br BRA,Red Bull Bragantino,br Série A,33,2787,31.0,33,0,0,FWMF,105132cd
634,Rodrigo Pimpão,0.0,0.00,0.00,29.4,0.4,1.5,0.0,0.0,0.0,20.3,2019,31,br BRA,Botafogo (RJ),br Série A,19,1008,11.2,11,8,1,MFFW,16b6b009
635,Romarinho,0.0,0.00,0.00,45.5,0.4,0.9,0.0,0.0,0.0,21.0,2021,26,br BRA,Fortaleza,br Série A,31,1081,12.0,9,22,6,FWMF,1e7d2cc0
636,Carlos Eduardo,0.0,0.00,0.00,20.0,0.3,1.5,0.0,0.0,0.0,21.4,2022,25,br BRA,Red Bull Bragantino,br Série A,24,902,10.0,8,16,1,FWMF,27c23008
637,Daniel Villalva,0.0,0.00,0.00,29.4,0.4,1.4,0.0,0.0,0.0,21.4,2020,27,ar ARG,Goiás,br Série A,18,1098,12.2,16,2,2,FWMF,2fef8b92
638,Felipe Marques,0.0,0.00,0.00,29.4,0.5,1.6,0.0,0.0,0.0,20.0,2022,32,br BRA,Cuiabá,br Série A,24,954,10.6,10,14,6,FWMF,30139a1c
639,Ronald,0.0,0.00,0.00,15.8,0.2,1.3,0.0,0.0,0.0,16.9,2021,19,br BRA,Atl Goianiense,br Série A,25,1323,14.7,16,9,3,FWMF,3ec33276
640,Anderson,0.0,0.00,0.00,11.8,0.1,1.2,0.0,0.0,0.0,21.5,2023,24,br BRA,Goiás,br Série A,20,1291,14.3,18,2,1,FWMF,4242a0a1
641,Geuvânio,0.0,0.00,0.00,37.0,0.9,2.4,0.0,0.0,0.0,22.9,2019,26,br BRA,Atlético Mineiro,br Série A,25,1002,11.1,9,16,7,FWMF,458c949b
642,Emiliano Rodríguez,0.0,0.00,0.00,33.3,0.8,2.5,0.0,0.0,0.0,13.9,2024,20,uy URU,Atl Goianiense,br Série A,21,1096,12.2,14,7,2,FW,46a9b016
643,Lucas Lima,0.0,0.00,0.00,40.0,0.3,0.8,0.0,0.0,0.0,23.0,2022,31,br BRA,Fortaleza,br Série A,22,1168,13.0,13,9,12,MFFW,49d03337
644,Marquinhos,0.0,0.00,0.00,32.1,0.6,2.0,0.0,0.0,0.0,23.5,2024,20,br BRA,Fluminense,br Série A,20,1270,14.1,15,5,8,FWDF,59878425
645,Wellington Rato,0.0,0.00,0.00,11.1,0.2,1.8,0.0,0.0,0.1,23.9,2023,30,br BRA,São Paulo,br Série A,32,1763,19.6,21,11,3,FWMF,598917cf
646,Tomás Cuello,0.0,0.00,0.00,26.7,0.4,1.3,0.0,0.0,0.0,22.4,2023,22,ar ARG,Ath Paranaense,br Série A,32,2055,22.8,22,10,4,MFFW,5c8615dd
647,Tchê Tchê,0.0,0.00,0.00,31.3,0.3,0.9,0.0,0.0,0.0,24.5,2024,31,br BRA,Botafogo (RJ),br Série A,28,1570,17.4,16,12,6,MFFW,5f2caf8f
648,Pedro Henrique,0.0,0.00,0.00,11.1,0.1,0.6,0.0,0.0,0.0,26.1,2022,19,br BRA,Ath Paranaense,br Série A,21,1387,15.4,13,8,15,DFFW,64aadf6b
649,Didira,0.0,0.00,0.00,15.4,0.2,1.2,0.0,0.0,0.0,23.9,2019,30,br BRA,CSA,br Série A,14,997,11.1,13,1,8,FWMF,6b0c0ee1
650,Caio Paulista,0.0,0.00,0.00,15.9,0.3,2.0,0.0,0.0,0.0,22.3,2019,20,br BRA,Avaí,br Série A,26,2014,22.4,23,3,2,MFFW,701bb051
651,Everton Felipe,0.0,0.00,0.00,15.4,0.2,1.1,0.0,0.0,0.1,28.6,2021,23,br BRA,Sport Recife,br Série A,20,1113,12.4,11,9,3,MFFW,70396c75
652,Jamerson,0.0,0.00,0.00,35.3,0.3,0.8,0.0,0.0,0.0,27.7,2023,24,br BRA,Coritiba,br Série A,29,1893,21.0,22,7,6,DFFW,7910d817
653,Fernandinho,0.0,0.00,0.00,41.2,0.6,1.5,0.0,0.0,0.0,18.5,2021,23,br BRA,Chapecoense,br Série A,15,1040,11.6,11,4,1,FWMF,877b54d5
654,Lucas Braga,0.0,0.00,0.00,9.1,0.0,0.5,0.0,0.0,0.0,15.9,2023,26,br BRA,Santos,br Série A,27,1991,22.1,22,5,1,DFFW,8a0a73ad
655,Jonathan Cafu,0.0,0.00,0.00,29.4,0.3,0.9,0.0,0.0,0.0,16.1,2023,31,br BRA,Cuiabá,br Série A,32,1708,19.0,23,9,2,FWMF,8d043f1d
656,Juninho Capixaba,0.0,0.00,0.00,30.4,0.3,1.1,0.0,0.0,0.0,19.9,2021,23,br BRA,Bahia,br Série A,26,1887,21.0,21,5,9,DFFW,91ba7336
657,David,0.0,0.00,0.00,27.5,0.6,2.3,0.0,0.0,0.0,21.2,2019,23,br BRA,Cruzeiro,br Série A,33,2021,22.5,23,10,4,FWMF,92f9ace5
658,Alisson,0.0,0.00,0.00,16.0,0.2,1.0,0.0,0.0,0.0,21.6,2023,29,br BRA,São Paulo,br Série A,35,2153,23.9,26,9,2,MFFW,99139fa4
659,Rhuan,0.0,0.00,0.00,20.0,0.4,1.8,0.0,0.0,0.0,20.2,2020,20,br BRA,Botafogo (RJ),br Série A,23,975,10.8,11,12,4,FWMF,9d620368
660,Bruno Zapelli,0.0,0.00,0.00,37.0,0.6,1.7,0.0,0.0,0.0,16.9,2024,21,ar ARG,Ath Paranaense,br Série A,32,1412,15.7,16,16,4,MFFW,a70af595
661,Douglas Baggio,0.0,0.00,0.00,33.3,0.6,1.8,0.0,0.0,0.0,20.7,2020,24,br BRA,Goiás,br Série A,25,1046,11.6,11,14,1,FWMF,a74adf6e
662,Welington,0.0,0.00,0.00,16.7,0.1,0.5,0.0,0.0,0.0,19.3,2021,19,br BRA,São Paulo,br Série A,16,1041,11.6,11,5,15,DFFW,a7f95b1f
663,Welington,0.0,0.00,0.00,40.0,0.3,0.8,0.0,0.0,0.0,22.0,2022,20,br BRA,São Paulo,br Série A,32,1671,18.6,17,15,5,DFFW,a7f95b1f
664,Guilherme Tinga,0.0,0.00,0.00,21.4,0.1,0.7,0.0,0.0,0.0,17.8,2020,26,br BRA,Fortaleza,br Série A,28,1840,20.4,20,8,4,DFFW,a8331ab0
665,Jean Pyerre,0.0,0.00,0.00,29.2,0.6,2.2,0.0,0.0,0.0,25.9,2021,22,br BRA,Grêmio,br Série A,24,981,10.9,9,15,8,MFFW,b41dc073
666,Vinícius,0.0,0.00,0.00,24.2,0.6,2.5,0.0,0.0,0.0,19.1,2023,29,br BRA,Goiás,br Série A,23,1172,13.0,13,10,4,FW,b6bd2b80
667,Everaldo,0.0,0.00,0.00,26.7,0.4,1.3,0.0,0.0,0.0,23.8,2021,26,br BRA,Sport Recife,br Série A,17,1015,11.3,14,3,1,FWMF,bdb57777
668,Rodrigo Nestor,0.0,0.00,0.00,47.1,0.7,1.6,0.0,0.0,0.0,25.7,2024,23,br BRA,São Paulo,br Série A,25,984,10.9,10,15,9,MFFW,c04ebe99
669,Ronald,0.0,0.00,0.00,21.4,0.2,0.9,0.0,0.0,0.0,19.4,2020,22,br BRA,Fortaleza,br Série A,28,1385,15.4,15,13,8,MFFW,cc119c66
670,Ronald,0.0,0.00,0.00,11.1,0.1,0.8,0.0,0.0,0.0,23.0,2022,24,br BRA,Fortaleza,br Série A,20,1049,11.7,13,7,16,MFFW,cc119c66
671,Marcos Guilherme,0.0,0.00,0.00,36.4,0.3,0.8,0.0,0.0,0.0,20.1,2020,24,br BRA,Internacional,br Série A,27,1263,14.0,16,11,7,MFFW,d5ff6084
672,Lucas Piton,0.0,0.00,0.00,10.0,0.1,0.7,0.0,0.0,0.0,21.8,2020,19,br BRA,Corinthians,br Série A,20,1328,14.8,15,5,11,DFFW,defce7f1
673,Bruno Costa,0.0,0.00,0.00,37.9,0.9,2.4,0.0,0.0,0.0,18.0,2021,20,br BRA,Chapecoense,br Série A,22,1093,12.1,12,10,0,FWMF,e74901c0
674,Matheus Bueno,0.0,0.00,0.00,27.3,0.2,0.8,0.0,0.0,0.0,26.3,2020,21,br BRA,Coritiba,br Série A,27,1316,14.6,16,11,8,MFFW,e90ec8d0
675,Capixaba,0.0,0.00,0.00,13.6,0.2,1.3,0.0,0.0,0.0,21.4,2021,24,br BRA,Juventude,br Série A,34,1531,17.0,17,17,3,FWMF,ea2634a1
676,Igor Vinícius de Souza,0.0,0.00,0.00,40.0,0.2,0.5,0.0,0.0,0.0,20.6,2021,23,br BRA,São Paulo,br Série A,22,1676,18.6,18,4,7,DFFW,ec95088d
677,Natanael,0.0,0.00,0.00,29.2,0.4,1.4,0.0,0.0,0.0,23.2,2021,30,br BRA,Atl Goianiense,br Série A,19,1540,17.1,17,2,0,DFFW,ed560575
678,Lucas Mugni,0.0,0.00,0.00,28.6,0.2,0.8,0.0,0.0,0.0,23.2,2021,29,ar ARG,Bahia,br Série A,20,1603,17.8,19,1,0,MFFW,f87818d3
679,Marquinhos Gabriel,0.0,0.00,0.00,17.9,0.3,1.4,0.0,0.0,0.0,20.3,2019,28,br BRA,Cruzeiro,br Série A,28,1799,20.0,20,8,4,FWMF,fcd113c4